Team + Rank,Minutes Rank,Player,Class,Pos,School,Conf,G,MP,Totals FG,Totals FGA,Totals 2P,Totals 2PA,Totals 3P,Totals 3PA,Totals FT,Totals FTA,Totals ORB,Totals DRB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Totals PTS
Abilene Christian1,1,Parker Wentz,SR,G,Abilene Christian,Southland,31,918,87,202,18,48,69,154,26,31,5,51,56,27,37,3,27,65,269
Abilene Christian2,2,Jaylen Franklin,FR,G,Abilene Christian,Southland,30,883,176,343,168,315,8,28,126,206,23,92,115,82,52,4,85,84,486
Abilene Christian3,3,Jalen Little,SR,G,Abilene Christian,Southland,26,737,48,125,26,63,22,62,41,49,9,68,77,116,33,2,50,67,159
Abilene Christian4,4,Jaren Lewis,FR,F,Abilene Christian,Southland,31,673,110,218,91,172,19,46,53,73,36,144,180,40,34,18,34,64,292
Abilene Christian5,5,Jovan Crnic,JR,G,Abilene Christian,Southland,31,640,71,192,38,96,33,96,44,55,8,71,79,78,23,3,67,66,219
Abilene Christian6,6,Duran Porter,SR,F,Abilene Christian,Southland,31,615,103,176,103,176,0,0,49,75,38,78,116,18,10,27,44,87,255
Abilene Christian7,7,Austin Cooke,SR,F,Abilene Christian,Southland,30,575,56,149,20,50,36,99,49,59,39,73,112,19,15,2,26,73,197
Abilene Christian8,8,Hayden Howell,FR,F,Abilene Christian,Southland,31,354,42,92,42,92,0,0,35,52,36,31,67,7,5,13,36,56,119
Abilene Christian9,9,Isaiah Tripp,SO,G,Abilene Christian,Southland,29,312,27,56,18,32,9,24,22,27,9,18,27,17,7,0,14,36,85
Abilene Christian10,10,Drake Green,SO,G,Abilene Christian,Southland,29,293,20,80,15,46,5,34,7,10,12,29,41,8,10,5,14,44,52
Abilene Christian11,11,Hayden Farquhar,FR,F,Abilene Christian,Southland,30,250,31,71,23,44,8,27,6,16,14,35,49,10,7,1,17,39,76
Air Force1,1,Hayden Graham,JR,F,Air Force,MWC,31,1112,168,346,133,255,35,91,57,87,49,143,192,69,34,10,63,86,428
Air Force2,2,Zach Kocur,JR,G,Air Force,MWC,32,967,103,265,46,107,57,158,43,60,17,154,171,64,37,0,65,74,306
Air Force3,3,C.J. Siples,SO,G,Air Force,MWC,32,708,71,137,51,95,20,42,45,69,9,84,93,69,29,8,42,69,207
Air Force4,4,Trevor Lyons,SO,G,Air Force,MWC,22,707,83,211,63,153,20,58,93,144,9,69,78,61,31,0,42,42,279
Air Force5,5,Zach Moer,SR,C,Air Force,MWC,29,575,91,198,81,164,10,34,58,77,31,84,115,30,11,24,51,85,250
Air Force6,6,Kyle Broekhuis,JR,F,Air Force,MWC,31,501,33,83,23,50,10,33,27,40,25,63,88,21,6,2,29,49,103
Air Force7,7,Dezmond James,SO,G,Air Force,MWC,32,396,30,95,24,62,6,33,20,34,8,36,44,25,9,1,21,30,86
Air Force8,8,Jacob Van,SO,G,Air Force,MWC,28,395,58,123,40,81,18,42,33,43,7,24,31,27,16,0,27,23,167
Air Force9,9,Frank Toohey,SO,C,Air Force,MWC,26,366,42,81,35,62,7,19,53,73,38,38,76,14,5,6,24,63,144
Air Force10,10,Joe Tuss,JR,F,Air Force,MWC,30,348,29,104,20,61,9,43,14,27,15,43,58,19,6,1,20,44,81
Air Force11,11,Pervis Louder,FR,G,Air Force,MWC,18,210,23,56,18,41,5,15,22,31,13,22,35,9,9,0,17,31,73
Air Force12,12,Ryan Manning,SO,F,Air Force,MWC,5,104,10,33,8,19,2,14,9,9,7,5,12,6,1,4,3,8,31
Air Force13,13,Dane Norman,FR,F,Air Force,MWC,15,45,6,12,5,8,1,4,3,6,3,8,11,1,0,2,1,3,16
Air Force14,14,Daniel Hummer,FR,G,Air Force,MWC,10,38,2,9,0,1,2,8,2,2,1,1,2,4,2,0,3,9,8
Air Force15,15,Jace Chacon,FR,G,Air Force,MWC,4,11,3,4,3,3,0,1,1,1,0,2,2,0,0,0,1,0,7
Akron1,1,Antino Jackson,SO,G,Akron,MAC,34,944,133,349,67,167,66,182,65,78,18,87,105,118,39,1,75,77,397
Akron2,2,Reggie McAdams,SR,F,Akron,MAC,34,894,121,278,26,53,95,225,51,71,31,99,130,28,23,9,25,65,388
Akron3,3,Noah Robotham,SO,G,Akron,MAC,28,889,89,211,34,77,55,134,42,56,12,64,76,107,33,3,41,50,275
Akron4,4,Isaiah Johnson,JR,C,Akron,MAC,34,851,169,291,168,286,1,5,121,196,89,165,254,56,16,44,52,81,460
Akron5,5,Jake Kretzer,SR,G,Akron,MAC,33,819,86,201,16,32,70,169,27,31,35,101,136,43,18,3,19,74,269
Akron6,6,Kwan Cheatham,JR,F,Akron,MAC,34,761,86,231,48,119,38,112,41,62,42,127,169,55,8,32,45,88,251
Akron7,7,Josh Williams,FR,G,Akron,MAC,33,619,72,177,14,41,58,136,20,26,16,67,83,44,14,4,48,42,222
Akron8,8,Pat Forsythe,SR,C,Akron,MAC,22,433,76,157,76,156,0,1,38,57,36,71,107,13,16,31,33,51,190
Akron9,9,Aaron Jackson,SO,G,Akron,MAC,28,279,26,65,15,29,11,36,19,27,15,18,33,11,6,3,10,40,82
Akron10,10,Jimond Ivey,SO,G,Akron,MAC,31,270,28,71,23,48,5,23,19,33,11,41,52,21,8,3,17,29,80
Akron11,11,Mark Noble,JR,G,Akron,MAC,5,14,1,3,1,2,0,1,0,0,0,1,1,0,1,0,2,2,2
Akron12,12,Carlitos Anderson,FR,G,Akron,MAC,5,13,1,1,0,0,1,1,0,0,0,3,3,1,1,0,0,0,3
Alabama1,1,Retin Obasohan,SR,G,Alabama,SEC,32,1036,190,400,143,275,47,125,140,203,19,104,123,83,44,10,80,84,567
Alabama2,2,Arthur Edwards,SR,G,Alabama,SEC,32,918,106,250,35,76,71,174,27,40,18,103,121,45,22,15,61,82,310
Alabama3,3,Riley Norris,SO,F,Alabama,SEC,32,897,76,203,32,86,44,117,47,72,52,121,173,23,26,8,38,61,243
Alabama4,4,Justin Coleman,SO,G,Alabama,SEC,32,840,67,228,31,90,36,138,71,80,7,56,63,108,23,0,62,45,241
Alabama5,5,Jimmie Taylor,JR,F,Alabama,SEC,32,678,67,116,67,116,0,0,36,97,52,99,151,13,15,58,40,84,170
Alabama6,6,Shannon Hale,JR,F,Alabama,SEC,27,664,93,248,52,124,41,124,65,87,22,56,78,14,12,7,56,62,292
Alabama7,7,Michael Kessens,JR,F,Alabama,SEC,32,537,47,83,46,79,1,4,25,46,49,65,114,18,14,13,29,75,120
Alabama8,8,Donta Hall,FR,F,Alabama,SEC,32,401,35,56,35,56,0,0,18,42,41,93,134,7,12,50,15,81,88
Alabama9,9,Brandon Austin,FR,G,Alabama,SEC,29,256,18,58,10,19,8,39,2,4,7,18,25,2,3,4,6,16,46
Alabama10,10,Dazon Ingram,FR,G,Alabama,SEC,7,179,20,37,19,35,1,2,13,22,6,35,41,23,8,3,24,23,54
Alabama11,11,Lawson Schaffer,FR,G,Alabama,SEC,14,31,2,10,0,1,2,9,2,4,2,0,2,2,1,0,1,3,8
Alabama A&M1,1,Ladarius Tabb,SR,G,Alabama A&M,SWAC,29,1000,201,457,156,304,45,153,102,160,58,143,201,21,41,8,50,73,549
Alabama A&M2,2,Nicholas West,SR,F,Alabama A&M,SWAC,29,878,132,286,114,222,18,64,123,170,73,154,227,43,17,27,71,95,405
Alabama A&M3,3,Rakiya Battle,JR,G,Alabama A&M,SWAC,29,756,50,155,33,95,17,60,66,84,16,54,70,153,25,2,59,40,183
Alabama A&M4,4,Arthur Wade,SR,G,Alabama A&M,SWAC,29,625,37,103,19,41,18,62,22,32,22,33,55,29,25,8,20,82,114
Alabama A&M5,5,Christopher Thomas,JR,G,Alabama A&M,SWAC,28,480,49,113,35,59,14,54,14,23,25,45,70,14,5,2,13,37,126
Alabama A&M6,6,Jacob Perry,SR,G,Alabama A&M,SWAC,27,431,50,127,31,59,19,68,54,77,8,21,29,43,8,0,35,52,173
Alabama A&M7,7,Adrian Edwards,JR,F,Alabama A&M,SWAC,29,362,32,92,32,89,0,3,11,17,31,43,74,12,9,3,14,55,75
Alabama A&M8,8,Quinterian McConico,JR,C,Alabama A&M,SWAC,18,325,53,83,52,82,1,1,15,21,16,50,66,5,3,8,14,37,122
Alabama A&M9,9,Tyler Davis,SR,G,Alabama A&M,SWAC,21,275,16,50,5,8,11,42,4,7,9,9,18,7,10,0,7,19,47
Alabama A&M10,10,Rashawn Green,FR,G,Alabama A&M,SWAC,19,248,30,72,8,15,22,57,3,6,3,15,18,9,5,0,9,26,85
Alabama A&M11,11,Matthew Cotton,SR,G,Alabama A&M,SWAC,26,186,12,33,7,17,5,16,15,20,8,14,22,20,4,0,15,11,44
Alabama A&M12,12,Zachary Jackson,FR,G,Alabama A&M,SWAC,22,158,13,37,11,26,2,11,5,13,9,10,19,5,7,2,6,18,33
Alabama A&M13,13,Baryn Houston,SR,G,Alabama A&M,SWAC,14,78,4,14,1,6,3,8,0,1,1,9,10,4,3,0,3,8,11
Alabama A&M14,14,Mohamed Sherif,FR,F,Alabama A&M,SWAC,13,72,2,10,2,10,0,0,5,11,3,10,13,1,1,1,9,8,9
Alabama State1,1,Jamel Waters,SR,G,Alabama State,SWAC,31,1057,160,390,84,206,76,184,98,134,32,102,134,134,54,2,81,65,494
Alabama State2,2,Torloft Thomas,JR,G,Alabama State,SWAC,31,838,70,187,33,82,37,105,72,96,20,56,76,58,21,3,64,69,249
Alabama State3,3,Bobby Brown,SR,G,Alabama State,SWAC,31,792,105,298,74,181,31,117,32,47,48,131,179,18,18,14,42,54,273
Alabama State4,4,Steve Rogers,SO,G,Alabama State,SWAC,31,749,65,208,35,96,30,112,43,57,19,35,54,33,19,5,28,65,203
Alabama State5,5,Corvon Butler,JR,F,Alabama State,SWAC,31,693,128,230,127,222,1,8,42,62,70,116,186,29,20,19,33,94,299
Alabama State6,6,Terrance LeFlore,SO,G,Alabama State,SWAC,31,597,65,194,36,117,29,77,42,58,14,42,56,57,19,3,45,61,201
Alabama State7,7,Tony Armstrong,JR,F,Alabama State,SWAC,21,561,97,202,97,202,0,0,59,93,36,89,125,16,12,23,24,74,253
Alabama State8,8,Chidozie Omile,SR,G,Alabama State,SWAC,25,305,28,89,21,58,7,31,11,22,15,36,51,13,9,6,19,40,74
Alabama State9,9,Glenn Hollaway,SO,F,Alabama State,SWAC,25,297,25,39,25,38,0,1,5,11,26,35,61,8,3,20,5,41,55
Alabama State10,10,Mikel Tyson,FR,F,Alabama State,SWAC,25,258,34,54,34,54,0,0,19,32,30,44,74,4,4,11,18,49,87
Alabama State11,11,Robert Ojeah,SR,C,Alabama State,SWAC,13,81,6,12,6,12,0,0,3,9,9,13,22,1,0,1,4,22,15
Alabama State12,12,Nicholas Barnes,JR,G,Alabama State,SWAC,8,57,4,13,0,2,4,11,0,2,2,0,2,0,1,0,3,6,12
Alabama State13,13,Joseff Smith,FR,G,Alabama State,SWAC,8,9,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3,2
